CustomerID,TotalSales,Country
12346.0,77183.6,United Kingdom
12347.0,4310.0,Iceland
12348.0,1797.24,Finland
12349.0,1757.55,Italy
12350.0,334.4,Norway
12352.0,2506.04,Norway
12353.0,89.0,Bahrain
12354.0,1079.4,Spain
12355.0,459.4,Bahrain
12356.0,2811.43,Portugal
12357.0,6207.67,Switzerland
12358.0,1168.06,Austria
12359.0,6372.58,Cyprus
12360.0,2662.06,Austria
12361.0,189.9,Belgium
12362.0,5226.23,Belgium
12363.0,552.0,Unspecified
12364.0,1313.1,Belgium
12365.0,641.38,Cyprus
12367.0,168.9,Denmark
12370.0,3545.69,Cyprus
12370.0,3545.69,Austria
12371.0,1887.96,Switzerland
12372.0,1298.04,Denmark
12373.0,364.6,Austria
12374.0,742.9300000000001,Austria
12375.0,457.5,Finland
12377.0,1628.12,Switzerland
12378.0,4008.62,Switzerland
12379.0,852.24,Belgium
12380.0,2724.81,Belgium
12381.0,1845.31,Norway
12383.0,1850.56,Belgium
12384.0,585.27,Switzerland
12386.0,401.9,Australia
12388.0,2780.66,Australia
12390.0,549.84,Belgium
12391.0,460.89,Cyprus
12393.0,1582.6000000000001,Australia
12394.0,1272.48,Belgium
12394.0,1272.48,Denmark
12395.0,3018.63,Belgium
12397.0,2409.9,Belgium
12398.0,1635.6599999999999,Switzerland
12399.0,1108.65,Belgium
12401.0,84.3,Belgium
12402.0,225.6,Belgium
12403.0,427.7,Denmark
12405.0,1710.39,Finland
12406.0,3415.3,Denmark
12407.0,1708.1200000000001,Belgium
12408.0,2888.55,Belgium
12409.0,11072.67,Switzerland
12410.0,693.3299999999999,Switzerland
12412.0,1226.88,Denmark
12413.0,758.1,France
12414.0,562.41,Austria
12415.0,124914.53,Australia
12417.0,3649.1,Belgium
12417.0,3649.1,Spain
12418.0,668.58,Switzerland
12420.0,600.39,Cyprus
12421.0,807.04,Spain
12422.0,803.5600000000001,Australia
12422.0,803.5600000000001,Switzerland
12423.0,1859.31,Belgium
12424.0,1760.96,Australia
